id,name,slug,tel_prefix,type
1030005001,ابرغان,ابرغان,,rural
1030005002,آغمیون,آغمیون,,rural
1030005003,شربیان,شربیان,,rural
1030005004,رازلیق,رازلیق,,rural
1030005005,صایین,صایین,,rural
1030005006,ملایعقوب,ملایعقوب,,rural
1030006001,سراجوی جنوبی,سراجوی-جنوبی,,rural
1030006002,سراجوی شرقی,سراجوی-شرقی,,rural
1030006003,سراجوی شمالی,سراجوی-شمالی,,rural
1030006004,سراجوی غربی,سراجوی-غربی,,rural
1030006005,قره ناز,قره-ناز,,rural
1030007001,بناب,بناب,,rural
1030007002,یکانات,یکانات,,rural
1030007003,یامچی,یامچی,,district
1030007004,زنوزق,زنوزق,,rural
1030007006,میشاب شمالی,میشاب-شمالی,,rural
1030007007,هرزندات شرقی,هرزندات-شرقی,,rural
1030007008,هرزندات غربی,هرزندات-غربی,,rural
1040001001,انزل جنوبی,انزل-جنوبی,,rural
1040001002,انزل شمالی,انزل-شمالی,,rural
1040001003,مرگور,مرگور,,rural
1040001004,باش قلعه,باش-قلعه,,rural
1040001005,بکشلوچای,بکشلوچای,,rural
1040001006,ترکمان,ترکمان,,rural
1040001007,دول,دول,,rural
1040001008,روضه چای,روضه-چای,,rural
1040002001,پیران,پیران,,rural
1040002002,لاهیجان غربی,لاهیجان-غربی,,rural
1040002004,منگورغربی,منگورغربی,,rural
1040002005,لاهیجان,لاهیجان,,rural
1040003001,الند,الند,,rural
1040003002,ولدیان,ولدیان,,rural
1040003003,دیزج,دیزج,,rural
1040003004,رهال,رهال,,rural
1040003005,قطور,قطور,,district
1040003006,فیرورق,فیرورق,,district
1040003007,قره سو,قره-سو,,rural
1040004001,آلان,آلان,,rural
1040004002,گورک سردشت,گورک-سردشت,,rural
1040004003,بریاجی,بریاجی,,rural
1040005001,چهریق,چهریق,,rural
1040005002,شپیران,شپیران,,rural
1040005003,شناتال,شناتال,,rural
1040005005,کره سنی,کره-سنی,,rural
1040005006,کنارپروژ,کنارپروژ,,rural
1040005007,لکستان,لکستان,,rural
1040006001,چایباسارجنوبی,چایباسارجنوبی,,rural
1040006002,ساری سو,ساری-سو,,rural
1040006003,قلعه دره سی,قلعه-دره-سی,,rural
1040006004,مرکزی,مرکزی,,district
1040006005,قره سو,قره-سو,,rural
1040007001,کانی بازار,کانی-بازار,,rural
1040007002,منگورشرقی,منگورشرقی,,rural
1040007004,مکریان غربی,مکریان-غربی,,rural
1040008001,مظفرآباد,مظفرآباد,,rural
1040008002,زرینه رودجنوبی,زرینه-رودجنوبی,,rural
1040008003,زرینه رودشمالی,زرینه-رودشمالی,,rural
1040008005,مرحمت آباد,مرحمت-آباد,,rural
1040008006,مکریان شمالی,مکریان-شمالی,,rural
1040008007,مرحمت آبادجنوبی,مرحمت-آبادجنوبی,,rural
1040009001,بیگم قلعه,بیگم-قلعه,,rural
1040009002,حسنلو,حسنلو,,rural
1040009003,سلدوز,سلدوز,,rural
1050001001,حسن آباد,حسن-آباد,,rural
1050001002,منصوری,منصوری,,rural
1050001003,هرسم,هرسم,,rural
1050001004,حمیل,حمیل,,rural
1050001006,شیان,شیان,,rural
1050002001,جلال وند,جلال-وند,,rural
