county_id,county_name,province_id,center_name,latitude,longitude,source_id
10200027,سوادکوه شمالی,102,شیرگاه,36.2987,52.89021,geonames-iran-2026-09-19
10200028,کلاردشت,102,کلاردشت,36.51094,51.17343,geonames-iran-2026-09-19
10300010,میانه,103,میانه,37.421,47.715,geonames-iran-2026-09-19
10300011,هشترود,103,هشترود,37.4779,47.0508,geonames-iran-2026-09-19
10300012,بناب,103,بناب,37.3404,46.0561,geonames-iran-2026-09-19
10300013,بستان آباد,103,بستان آباد,37.84633,46.83542,geonames-iran-2026-09-19
10300014,شبستر,103,شبستر,38.1804,45.7028,geonames-iran-2026-09-19
10300015,کلیبر,103,کلیبر,38.86509,47.03909,geonames-iran-2026-09-19
10300016,هریس,103,هریس,38.24816,47.11678,geonames-iran-2026-09-19
10300019,جلفا,103,جلفا,38.93788,45.63329,geonames-iran-2026-09-19
10300020,ملکان,103,ملکان,37.14258,46.10345,geonames-iran-2026-09-19
10300021,آذرشهر,103,آذرشهر,37.759,45.9783,geonames-iran-2026-09-19
10300022,اسکو,103,اسکو,37.91504,46.12258,geonames-iran-2026-09-19
10300023,چاراویماق,103,قره آغاج,37.2187,47.2167,geonames-iran-2026-09-19
10300024,ورزقان,103,ورزقان,38.67549,46.11205,geonames-iran-2026-09-19
10300025,عجب شیر,103,عجب شیر,37.4776,45.8943,geonames-iran-2026-09-19
10300026,خدا آفرین,103,خمارلو,39.15889,47.03288,geonames-iran-2026-09-19
10300027,هوراند,103,هوراند,38.86125,47.36797,geonames-iran-2026-09-19
10300028,لیلان,103,لیلان,36.96,46.18,geonames-iran-2026-09-19
10300029,ترکمانچای,103,ترکمانچای,37.5853,47.3896,geonames-iran-2026-09-19
10400010,بوکان,104,بوکان,36.521,46.2089,geonames-iran-2026-09-19
10400011,شاهین دژ,104,شاهین دژ,36.6793,46.5669,geonames-iran-2026-09-19
10400012,تکاب,104,تکاب,36.4009,47.1133,geonames-iran-2026-09-19
10400013,اشنویه,104,اشنویه,37.0397,45.0983,geonames-iran-2026-09-19
10400014,چالدران,104,سیه چشمه,39.06508,44.38416,geonames-iran-2026-09-19
10400015,پلدشت,104,پلدشت,39.348,45.071,geonames-iran-2026-09-19
10400016,چایپاره,104,قره ضیاءالدین,38.8915,45.0255,geonames-iran-2026-09-19
10400017,شوط,104,شوط,39.2192,44.77,geonames-iran-2026-09-19
10400018,چهاربرج,104,چهاربرج,36.465,46.704,geonames-iran-2026-09-19
10400019,باروق,104,باروق,36.9583,46.3249,geonames-iran-2026-09-19
10400020,میرآباد,104,میرآباد,36.4053,45.372,geonames-iran-2026-09-19
10500010,صحنه,105,صحنه,34.4813,47.6908,geonames-iran-2026-09-19
10500011,هرسین,105,هرسین,34.2721,47.5861,geonames-iran-2026-09-19
10500012,ثلاث باباجانی,105,تازه آباد,34.7387,46.1496,geonames-iran-2026-09-19
10500013,دالاهو,105,کرند,34.328,47.586,geonames-iran-2026-09-19
10500014,روانسر,105,روانسر,34.7153,46.6533,geonames-iran-2026-09-19
10600010,رامهرمز,106,رامهرمز,31.27997,49.60351,geonames-iran-2026-09-19
10600011,شادگان,106,شادگان,30.64924,48.66497,geonames-iran-2026-09-19
10600012,شوشتر,106,شوشتر,32.04972,48.84843,geonames-iran-2026-09-19
10600013,مسجدسلیمان,106,مسجدسلیمان,31.9364,49.3039,geonames-iran-2026-09-19
10600014,شوش,106,شوش,32.1942,48.2436,geonames-iran-2026-09-19
10600015,باغ ملک,106,باغ ملک,31.52398,49.88558,geonames-iran-2026-09-19
10600016,امیدیه,106,امیدیه,30.76277,49.70226,geonames-iran-2026-09-19
10600017,لالی,106,لالی,32.32981,49.09324,geonames-iran-2026-09-19
10600018,هندیجان,106,هندیجان,30.2363,49.7119,geonames-iran-2026-09-19
10600019,رامشیر,106,رامشیر,30.89315,49.40787,geonames-iran-2026-09-19
10600020,گتوند,106,گتوند,32.24585,48.81315,geonames-iran-2026-09-19
10600021,اندیکا,106,قلعه خواجه,32.20622,49.44526,geonames-iran-2026-09-19
10600022,هفتکل,106,هفتگل,31.44686,49.52951,geonames-iran-2026-09-19
10600023,هویزه,106,هویزه,31.4619,48.074,geonames-iran-2026-09-19
10600024,باوی,106,ملاثانی,31.5847,48.88587,geonames-iran-2026-09-19
10600025,حمیدیه,106,حمیدیه,31.48285,48.4332,geonames-iran-2026-09-19
